sub_id,target_match,hemifield_match,mean_rt,pc,mean_il
1.0,no_match,diff,771.400204047,1.0,163.312874543
2.0,no_match,diff,709.182963138,1.0,57.977665622
3.0,no_match,diff,694.267061094,0.975609756098,138.059634762
4.0,no_match,diff,509.512272457,1.0,245.885797911
5.0,no_match,diff,713.029021062,1.0,379.023855759
6.0,no_match,diff,624.802221102,0.978260869565,334.253149954
7.0,no_match,diff,674.08304765,1.0,478.528799346
8.0,no_match,diff,941.338035084,1.0,519.869656351
9.0,no_match,diff,841.253722075,1.0,131.07557947
10.0,no_match,diff,597.481076342,0.975609756098,345.05113732
1.0,match,diff,709.958361094,0.944444444444,150.400172981
2.0,match,diff,705.342964315,0.964912280702,72.6388926287
3.0,match,diff,679.192556835,0.959183673469,137.085196892
4.0,match,diff,503.981705925,0.931818181818,251.300331691
5.0,match,diff,680.175355975,0.95652173913,354.596426184
6.0,match,diff,554.501077529,0.818181818182,334.250974209
7.0,match,diff,635.72486861,0.975,488.145574053
8.0,match,diff,802.831765277,1.0,537.881873237
9.0,match,diff,712.718864139,0.886363636364,112.234750134
10.0,match,diff,638.459073471,0.938775510204,407.685960346
1.0,no_match,same,849.315816944,1.0,163.29115488
2.0,no_match,same,752.832885966,1.0,66.1552611671
3.0,no_match,same,752.612519804,0.978723404255,126.287849076
4.0,no_match,same,575.092216965,1.0,254.36388821
5.0,no_match,same,718.434070312,1.0,356.723878726
6.0,no_match,same,676.528312494,1.0,373.352538923
7.0,no_match,same,733.055330148,1.0,497.24542032
8.0,no_match,same,961.425824866,1.0,542.848480871
9.0,no_match,same,843.218540187,1.0,117.961095514
10.0,no_match,same,667.472574884,1.0,395.826341441
1.0,match,same,732.95301652,0.886363636364,157.648138682
2.0,match,same,735.31425236,0.938775510204,58.038722684
3.0,match,same,717.701516455,0.976744186047,152.289185436
4.0,match,same,558.142369439,0.8,250.93289308
5.0,match,same,706.975591157,0.943396226415,361.025728795
6.0,match,same,648.148439789,0.822222222222,427.555773252
7.0,match,same,732.157244511,0.895833333333,536.2156422
8.0,match,same,723.96330294,1.0,492.272115455
9.0,match,same,725.999094844,1.0,126.941439817
10.0,match,same,708.014814145,0.893617021277,375.788022545
