sub_id,targets_match,mean_rt,pc,mean_il
1.0,no_match,805.498335522,1.0,163.300690342
2.0,no_match,733.69867322,1.0,60.6147608329
3.0,no_match,725.523556831,0.977272727273,131.689021332
4.0,no_match,544.028032724,1.0,250.301469942
5.0,no_match,715.52885634,1.0,368.837446497
6.0,no_match,650.955862817,0.989010989011,353.802844439
7.0,no_match,693.372662538,1.0,487.167239796
8.0,no_match,951.610200313,1.0,531.75525524
9.0,no_match,842.179670841,1.0,124.89519048
10.0,no_match,633.330380473,0.988095238095,376.428081853
11.0,no_match,665.611796299,1.0,320.452429854
12.0,no_match,726.580790326,1.0,408.305308722
13.0,no_match,677.234990119,1.0,383.95827235
14.0,no_match,719.055371829,0.988505747126,154.548405639
15.0,no_match,728.29301606,0.989795918367,228.077158722
1.0,match,719.922711779,0.918367346939,156.598502668
2.0,match,718.346483438,0.952830188679,64.6290510736
3.0,match,697.340457346,0.967391304348,144.260112834
4.0,match,522.76287141,0.869047619048,251.137025642
5.0,match,694.449394278,0.949494949495,358.020728662
6.0,match,609.474388158,0.820224719101,382.199273718
7.0,match,702.806827236,0.931818181818,513.353048813
8.0,match,764.726777856,1.0,515.845698129
9.0,match,720.113538054,0.94623655914,120.423702344
10.0,match,671.209762202,0.916666666667,392.478803953
11.0,match,629.341376504,0.943820224719,323.800211497
12.0,match,666.205849731,0.956043956044,401.337134746
13.0,match,637.385229252,0.728260869565,370.655862998
14.0,match,718.715177768,0.795698924731,136.996169038
15.0,match,662.459328014,0.975609756098,236.626877886
