sub_id,task,hemifield_match,mean_rt,pc,mean_il
1.0,Discrim,diff,734.963762296,0.966666666667,155.805489914
2.0,Discrim,diff,712.497635446,0.977777777778,67.1409325012
3.0,Discrim,diff,693.819427604,0.966666666667,137.527093135
4.0,Discrim,diff,510.715969416,0.966666666667,248.404185716
5.0,Discrim,diff,696.602188518,0.977777777778,366.950528498
6.0,Discrim,diff,600.501373043,0.9,334.252186017
7.0,Discrim,diff,657.769799093,0.988888888889,482.790779046
8.0,Discrim,diff,868.132095944,1.0,529.28513336
9.0,Discrim,diff,774.133509824,0.944444444444,122.430963657
10.0,Discrim,diff,612.890754767,0.955555555556,383.391348083
11.0,Discrim,diff,634.847461263,0.966666666667,318.967043971
12.0,Discrim,diff,683.719470417,0.966666666667,392.361789384
13.0,Discrim,diff,670.108442124,0.9,381.627863716
14.0,Discrim,diff,719.717636496,0.9,141.995051026
15.0,Discrim,diff,673.245516818,0.988888888889,230.07627828
1.0,Discrim,same,786.024135052,0.944444444444,160.702006272
2.0,Discrim,same,743.666159079,0.966666666667,61.8637580611
3.0,Discrim,same,735.968901928,0.977777777778,138.697577793
4.0,Discrim,same,563.199076627,0.911111111111,253.024963282
5.0,Discrim,same,711.905401956,0.966666666667,359.174932835
6.0,Discrim,same,663.915035737,0.911111111111,398.112041024
7.0,Discrim,same,741.227708583,0.944444444444,520.693678456
8.0,Discrim,same,846.045963898,1.0,518.135029588
9.0,Discrim,same,779.399064389,1.0,122.850394079
10.0,Discrim,same,679.732053205,0.944444444444,385.927894757
11.0,Discrim,same,661.002802626,0.977777777778,323.058632169
12.0,Discrim,same,716.842051679,0.988888888889,415.892095798
13.0,Discrim,same,667.44467995,0.822222222222,374.465051712
14.0,Discrim,same,718.049248695,0.877777777778,150.903077971
15.0,Discrim,same,714.992572074,0.977777777778,233.753355232
1.0,Detect,diff,603.107208875,0.988888888889,191.347826925
2.0,Detect,diff,512.924883142,1.0,48.4630651594
3.0,Detect,diff,485.406578378,1.0,172.892990104
4.0,Detect,diff,443.147193478,1.0,239.63363507
5.0,Detect,diff,551.843076771,1.0,323.371882916
6.0,Detect,diff,422.247916379,0.988888888889,170.608970594
7.0,Detect,diff,486.5240234,1.0,365.785694346
8.0,Detect,diff,595.569620827,0.988888888889,399.887726325
9.0,Detect,diff,476.442739198,1.0,100.086163523
10.0,Detect,diff,421.06363386,1.0,272.572131737
11.0,Detect,diff,473.215606219,1.0,304.441149422
12.0,Detect,diff,549.943200654,1.0,361.722912224
13.0,Detect,diff,540.866594012,0.983333333333,366.10065498
14.0,Detect,diff,531.058912934,0.983333333333,217.223268243
15.0,Detect,diff,517.574858865,1.0,218.234479126
1.0,Detect,same,605.383793592,1.0,191.070699604
2.0,Detect,same,500.539232688,0.977777777778,51.3109467405
3.0,Detect,same,487.192001482,1.0,187.423549585
4.0,Detect,same,428.370402792,1.0,237.795305859
5.0,Detect,same,568.625785211,1.0,332.747236787
6.0,Detect,same,422.79190993,0.988888888889,188.825424997
7.0,Detect,same,490.29889256,0.988888888889,361.070705022
8.0,Detect,same,587.950115313,1.0,403.959242828
9.0,Detect,same,507.857154114,1.0,95.3820527374
10.0,Detect,same,433.294471013,1.0,287.624209804
11.0,Detect,same,466.527034328,1.0,302.470244081
12.0,Detect,same,553.436413861,0.966666666667,362.716854455
13.0,Detect,same,524.096539347,0.983333333333,345.724621432
14.0,Detect,same,532.400391025,0.983333333333,199.830514082
15.0,Detect,same,505.449295529,1.0,208.037319603
